piso,tope,max_correccion,divide_en_max,correctores_inicial,agregan,pend,limite,FIJO20_costo_bootstrap,FIJO20_media_costo,FIJO20_diferencia_limite_boot,FIJO20_media_boot,FIJO20_std_boot,FIJO20_porcentaje_inferior_0,MITAD_MAS_costo_bootstrap,MITAD_MAS_media_costo,MITAD_MAS_diferencia_limite_boot,MITAD_MAS_media_boot,MITAD_MAS_std_boot,MITAD_MAS_porcentaje_inferior_0,DOBLE_costo_bootstrap,DOBLE_media_costo,DOBLE_diferencia_limite_boot,DOBLE_media_boot,DOBLE_std_boot,DOBLE_porcentaje_inferior_0
4000,35000,80,1,2,1,388.0,3950000,"[3987344. 3220760. 4526404. 3277888. 3475084. 3684280. 4154664. 2671732.
 4036352. 3654672. 4240652. 3564684. 3397752. 3551224. 2561060. 3605036.
 4786788. 3872792. 4078136. 4072944.]",3721012.4,"[ -37344.  729240. -576404.  672112.  474916.  265720. -204664. 1278268.
  -86352.  295328. -290652.  385316.  552248.  398776. 1388940.  344964.
 -836788.   77208. -128136. -122944.]",228987.6,539349.1556339363,0.4,"[5583128. 4788848. 5467144. 5881804. 4893700. 5308748. 5438672. 4266980.
 6039664. 5470248. 5205448. 6087896. 5405332. 5221208. 5251472. 4693428.
 6118160. 4981240. 5346744. 5391364.]",5342061.4,"[-1633128.  -838848. -1517144. -1931804.  -943700. -1358748. -1488672.
  -316980. -2089664. -1520248. -1255448. -2137896. -1455332. -1271208.
 -1301472.  -743428. -2168160. -1031240. -1396744. -1441364.]",-1392061.4,463622.96919678163,1.0,"[6543388. 7513256. 7572592. 7454908. 6594964. 7194136. 7141784. 8193612.
 7176316. 7477172. 7816828. 7318120. 7107880. 7249232. 8515152. 7266692.
 7833780. 6491932. 5916816. 6864808.]",7262168.4,"[-2593388. -3563256. -3622592. -3504908. -2644964. -3244136. -3191784.
 -4243612. -3226316. -3527172. -3866828. -3368120. -3157880. -3299232.
 -4565152. -3316692. -3883780. -2541932. -1966816. -2914808.]",-3312168.4,586995.7102138312,1.0
4000,35000,80,1,2,2,388.0,3950000,"[3425840. 3373368. 4046064. 3774336. 3731416. 4743352. 3510368. 3203240.
 2706584. 4216672. 4023024. 3300184. 3308424. 2776128. 3369968. 4368712.
 3848240. 3622832. 4047080. 3711000.]",3655341.6,"[ 524160.  576632.  -96064.  175664.  218584. -793352.  439632.  746760.
 1243416. -266672.  -73024.  649816.  641576. 1173872.  580032. -418712.
  101760.  327168.  -97080.  239000.]",294658.4,493409.47830442,0.3,"[6172904. 6558112. 6292056. 5258448. 5460336. 5510536. 5973824. 4902728.
 6131536. 5799040. 5291816. 5629928. 6672128. 6257672. 6933528. 6095840.
 5816352. 5368584. 5600792. 5421832.]",5857399.6,"[-2222904. -2608112. -2342056. -1308448. -1510336. -1560536. -2023824.
  -952728. -2181536. -1849040. -1341816. -1679928. -2722128. -2307672.
 -2983528. -2145840. -1866352. -1418584. -1650792. -1471832.]",-1907399.6,516062.9766745915,1.0,"[6968744. 7852752. 7003960. 6345416. 7546048. 7080968. 8450176. 6935192.
 7806968. 8559056. 7699936. 8098576. 8433640. 7308464. 7119952. 8595232.
 8294608. 7077624. 8832520. 8834072.]",7742195.2,"[-3018744. -3902752. -3053960. -2395416. -3596048. -3130968. -4500176.
 -2985192. -3856968. -4609056. -3749936. -4148576. -4483640. -3358464.
 -3169952. -4645232. -4344608. -3127624. -4882520. -4884072.]",-3792195.2,722625.9116058322,1.0
4000,35000,80,1,3,1,388.0,3950000,"[3305684. 3745804. 3935092. 3967804. 3670532. 4078088. 3754460. 4355184.
 3686856. 2993428. 3725748. 4061792. 3497928. 4843388. 3349740. 4088296.
 3773980. 3594540. 3817824. 3526252.]",3788621.0,"[ 644316.  204196.   14908.  -17804.  279468. -128088.  195540. -405184.
  263144.  956572.  224252. -111792.  452072. -893388.  600260. -138296.
  176020.  355460.  132176.  423748.]",161379.0,388381.9975660561,0.3,"[5536972. 5297780. 6365904. 5290316. 6726004. 4576176. 4632020. 5626692.
 4897088. 5944648. 5686444. 4821188. 5141980. 6518600. 4913116. 5941572.
 5252292. 5101776. 6809276. 5895668.]",5548775.6,"[-1586972. -1347780. -2415904. -1340316. -2776004.  -626176.  -682020.
 -1676692.  -947088. -1994648. -1736444.  -871188. -1191980. -2568600.
  -963116. -1991572. -1302292. -1151776. -2859276. -1945668.]",-1598775.6,662080.6485773769,1.0,"[7150132. 8049652. 6742936. 6699148. 6745412. 7006184. 7095932. 7586132.
 7600848. 7511876. 7234540. 6652948. 7101096. 7852604. 7862156. 6138120.
 7249164. 7856724. 6311112. 8074216.]",7226046.6,"[-3200132. -4099652. -2792936. -2749148. -2795412. -3056184. -3145932.
 -3636132. -3650848. -3561876. -3284540. -2702948. -3151096. -3902604.
 -3912156. -2188120. -3299164. -3906724. -2361112. -4124216.]",-3276046.6,553304.9505728645,1.0
4000,35000,80,1,3,2,388.0,3950000,"[3724800. 4356572. 3669224. 3336248. 3612336. 3991632. 4744200. 3212384.
 3929016. 3554968. 3900120. 4919668. 4402744. 4035808. 4606960. 3788672.
 3697160. 2749484. 4696384. 4066756.]",3949756.8,"[ 225200. -406572.  280776.  613752.  337664.  -41632. -794200.  737616.
   20984.  395032.   49880. -969668. -452744.  -85808. -656960.  161328.
  252840. 1200516. -746384. -116756.]",243.2,538851.0120641511,0.45,"[6105076. 5657012. 7194020. 4066128. 6287860. 6096780. 6368508. 6106332.
 6459152. 6223988. 5160800. 5357792. 6257356. 6658860. 5482912. 6270012.
 6708820. 5255360. 5178648. 5175396.]",5903540.6,"[-2155076. -1707012. -3244020.  -116128. -2337860. -2146780. -2418508.
 -2156332. -2509152. -2273988. -1210800. -1407792. -2307356. -2708860.
 -1532912. -2320012. -2758820. -1305360. -1228648. -1225396.]",-1953540.6,706302.7641698989,1.0,"[ 7712756. 10135064.  7675508.  6826328.  8878652.  7173124.  8778512.
  8922552.  7162556.  8378948.  7630740.  7892916.  7673272.  8455236.
  7007024.  8397036.  6858476.  8000040.  6994220.  5845672.]",7819931.6,"[-3762756. -6185064. -3725508. -2876328. -4928652. -3223124. -4828512.
 -4972552. -3212556. -4428948. -3680740. -3942916. -3723272. -4505236.
 -3057024. -4447036. -2908476. -4050040. -3044220. -1895672.]",-3869931.6,943250.1181882989,1.0
4000,35000,80,1,4,1,388.0,3950000,"[3682272. 3696628. 3790108. 3568496. 3322560. 3799032. 3925492. 4534604.
 4424440. 3342468. 3563184. 3143092. 3423800. 3404668. 3063968. 3998408.
 3970204. 4320336. 4644500. 4248852.]",3793355.6,"[ 267728.  253372.  159892.  381504.  627440.  150968.   24508. -584604.
 -474440.  607532.  386816.  806908.  526200.  545332.  886032.  -48408.
  -20204. -370336. -694500. -298852.]",156644.4,449491.7457304861,0.35,"[4975960. 6125028. 6454864. 5645332. 5757436. 6050800. 5870196. 5737916.
 6102672. 5344956. 7326088. 5355164. 5178412. 5125432. 5908044. 4980856.
 5326480. 6095152. 5848440. 4723696.]",5696646.2,"[-1025960. -2175028. -2504864. -1695332. -1807436. -2100800. -1920196.
 -1787916. -2152672. -1394956. -3376088. -1405164. -1228412. -1175432.
 -1958044. -1030856. -1376480. -2145152. -1898440.  -773696.]",-1746646.2,588175.3111914508,1.0,"[7620956. 8092236. 7224504. 5809740. 6487916. 8138796. 8050960. 7770908.
 6001716. 6996028. 8346412. 7803380. 7993056. 6777252. 7231128. 7641612.
 6917680. 7254232. 7531596. 7311148.]",7350062.8,"[-3670956. -4142236. -3274504. -1859740. -2537916. -4188796. -4100960.
 -3820908. -2051716. -3046028. -4396412. -3853380. -4043056. -2827252.
 -3281128. -3691612. -2967680. -3304232. -3581596. -3361148.]",-3400062.8,680412.4552653045,1.0
4000,35000,80,1,4,2,388.0,3950000,"[4253400. 3756208. 4166248. 4720032. 3379240. 4036712. 3963768. 3391176.
 3198008. 3891416. 3961736. 3222064. 3985016. 3999224. 3962512. 4259848.
 3986568. 5224448. 4365328. 3101064.]",3941200.8,"[ -303400.   193792.  -216248.  -770032.   570760.   -86712.   -13768.
   558824.   751992.    58584.   -11736.   727936.   -35016.   -49224.
   -12512.  -309848.   -36568. -1274448.  -415328.   848936.]",8799.2,506509.58995478065,0.65,"[6815184. 4598736. 7172456. 7101120. 5370224. 6283072. 6576528. 5975704.
 5516776. 5859120. 6346168. 6017312. 6809216. 5172160. 4866824. 5377984.
 5912072. 7196752. 5457320. 5495344.]",5996003.6,"[-2865184.  -648736. -3222456. -3151120. -1420224. -2333072. -2626528.
 -2025704. -1566776. -1909120. -2396168. -2067312. -2859216. -1222160.
  -916824. -1427984. -1962072. -3246752. -1507320. -1545344.]",-2046003.6,754928.4384776083,1.0,"[7374344. 8186424. 7427352. 8990688. 7569008. 9232208. 7730656. 7962512.
 9191616. 9657528. 7994568. 7871000. 7077784. 7167744. 8016832. 7727496.
 8023816. 7879832. 8465376. 8483704.]",8101524.4,"[-3424344. -4236424. -3477352. -5040688. -3619008. -5282208. -3780656.
 -4012512. -5241616. -5707528. -4044568. -3921000. -3127784. -3217744.
 -4066832. -3777496. -4073816. -3929832. -4515376. -4533704.]",-4151524.4,691907.8787536966,1.0
4000,35000,80,2,2,1,388.0,3950000,"[4248800. 2831656. 2963560. 3136700. 4945960. 3019272. 4106620. 4296992.
 3971116. 3167980. 3223396. 2782876. 3408456. 4216128. 3998128. 3320288.
 3206244. 3853996. 4272268. 3145704.]",3605807.0,"[-298800. 1118344.  986440.  813300. -995960.  930728. -156620. -346992.
  -21116.  782020.  726604. 1167124.  541544. -266128.  -48128.  629712.
  743756.   96004. -322268.  804296.]",344193.0,599435.6618392002,0.4,"[4919656. 5121628. 4046696. 6110348. 4560160. 4971020. 5403112. 5315104.
 5887784. 5900268. 6243376. 5039360. 5899412. 5398844. 5131756. 6448732.
 5484632. 5638880. 6281452. 5780336.]",5479127.8,"[ -969656. -1171628.   -96696. -2160348.  -610160. -1021020. -1453112.
 -1365104. -1937784. -1950268. -2293376. -1089360. -1949412. -1448844.
 -1181756. -2498732. -1534632. -1688880. -2331452. -1830336.]",-1529127.8,598004.4935810766,1.0,"[7853208. 7880916. 6313268. 6447328. 6023544. 6804924. 6519228. 7035060.
 7086960. 7389072. 7815360. 6998132. 7878816. 6263136. 7360080. 7607488.
 7855188. 6160144. 6711632. 6993904.]",7049869.4,"[-3903208. -3930916. -2363268. -2497328. -2073544. -2854924. -2569228.
 -3085060. -3136960. -3439072. -3865360. -3048132. -3928816. -2313136.
 -3410080. -3657488. -3905188. -2210144. -2761632. -3043904.]",-3099869.4,616960.8808231199,1.0
4000,35000,80,2,2,2,388.0,3950000,"[4096744. 3830504. 4827264. 3724888. 4071488. 4306768. 4058776. 4097280.
 3504320. 4384152. 3492256. 3847440. 4088904. 3649376. 2868552. 4229144.
 2877968. 3438792. 3493592. 2950032.]",3791912.0,"[-146744.  119496. -877264.  225112. -121488. -356768. -108776. -147280.
  445680. -434152.  457744.  102560. -138904.  300624. 1081448. -279144.
 1072032.  511208.  456408.  999968.]",158088.0,505713.7615244418,0.45,"[5601648. 5621368. 5399920. 5547784. 6200144. 6732176. 6960528. 5461168.
 5978536. 5861816. 6180128. 6330536. 7033496. 5704560. 5911856. 5204048.
 5945248. 5795696. 7021856. 5867464.]",6017998.8,"[-1651648. -1671368. -1449920. -1597784. -2250144. -2782176. -3010528.
 -1511168. -2028536. -1911816. -2230128. -2380536. -3083496. -1754560.
 -1961856. -1254048. -1995248. -1845696. -3071856. -1917464.]",-2067998.8,534495.6847587826,1.0,"[8285136. 8385448. 7537784. 7592104. 7426072. 7021728. 7626032. 7569680.
 6901560. 7176552. 7626352. 7837392. 7288160. 6854840. 8629432. 8584960.
 6903112. 8478728. 6570456. 7592720.]",7594412.4,"[-4335136. -4435448. -3587784. -3642104. -3476072. -3071728. -3676032.
 -3619680. -2951560. -3226552. -3676352. -3887392. -3338160. -2904840.
 -4679432. -4634960. -2953112. -4528728. -2620456. -3642720.]",-3644412.4,599177.969803163,1.0
4000,35000,80,2,3,1,388.0,3950000,"[3356096. 4028452. 3669784. 4168076. 3542576. 4195652. 3358156. 2952476.
 4066172. 4095456. 3591168. 3129228. 4078236. 4426964. 4197712. 4031824.
 4016332. 4233824. 4634756. 4413744.]",3909334.2,"[ 593904.  -78452.  280216. -218076.  407424. -245652.  591844.  997524.
 -116172. -145456.  358832.  820772. -128236. -476964. -247712.  -81824.
  -66332. -283824. -684756. -463744.]",40665.8,443933.2505491788,0.65,"[6236276. 7300400. 5815852. 6073196. 4390196. 5915004. 4815932. 5964372.
 6016724. 5447336. 6028364. 6286716. 5140900. 5522220. 5200624. 6038064.
 5588096. 5887604. 5741384. 6069852.]",5773955.6,"[-2286276. -3350400. -1865852. -2123196.  -440196. -1965004.  -865932.
 -2014372. -2066724. -1497336. -2078364. -2336716. -1190900. -1572220.
 -1250624. -2088064. -1638096. -1937604. -1791384. -2119852.]",-1823955.6,592273.4724768955,1.0,"[6933952. 6882108. 8347820. 7154752. 6777728. 8849420. 8002104. 8602200.
 7738228. 6815096. 7482556. 7098104. 7107776. 7536340. 7491932. 6375124.
 7131232. 8293528. 7204240. 7818784.]",7482151.2,"[-2983952. -2932108. -4397820. -3204752. -2827728. -4899420. -4052104.
 -4652200. -3788228. -2865096. -3532556. -3148104. -3157776. -3586340.
 -3541932. -2425124. -3181232. -4343528. -3254240. -3868784.]",-3532151.2,648321.0823209131,1.0
4000,35000,80,2,3,2,388.0,3950000,"[3746436. 4264552. 3597556. 4118480. 3994792. 5060752. 3836156. 4000436.
 4337976. 2985276. 3969720. 3659100. 3320036. 3582388. 4373136. 3822512.
 4303768. 4021656. 3688024. 4341736.]",3951224.4,"[  203564.  -314552.   352444.  -168480.   -44792. -1110752.   113844.
   -50436.  -387976.   964724.   -19720.   290900.   629964.   367612.
  -423136.   127488.  -353768.   -71656.   261976.  -391736.]",-1224.4,435323.3847665894,0.55,"[5828564. 5975200. 6587036. 5631212. 5932272. 5040956. 6302836. 6250964.
 5505048. 5388796. 6007440. 7592688. 6203924. 5081308. 6984668. 5777828.
 5975172. 5311372. 5963124. 5465684.]",5940304.6,"[-1878564. -2025200. -2637036. -1681212. -1982272. -1090956. -2352836.
 -2300964. -1555048. -1438796. -2057440. -3642688. -2253924. -1131308.
 -3034668. -1827828. -2025172. -1361372. -2013124. -1515684.]",-1990304.6,605798.7906614208,1.0,"[9583664. 7309628. 7831512. 8233580. 8136164. 8168904. 7582824. 8148636.
 7380076. 7927976. 7488632. 7865804. 9276924. 8225192. 6834440. 7978020.
 8872372. 9553936. 8358376. 8206300.]",8148148.0,"[-5633664. -3359628. -3881512. -4283580. -4186164. -4218904. -3632824.
 -4198636. -3430076. -3977976. -3538632. -3915804. -5326924. -4275192.
 -2884440. -4028020. -4922372. -5603936. -4408376. -4256300.]",-4198148.0,704549.348804468,1.0
