piso,tope,max_correccion,divide_en_max,correctores_inicial,agregan,porcen_corregir,pend,limite,FIJO20_costo_bootstrap,FIJO20_media_costo,FIJO20_diferencia_limite_boot,FIJO20_media_boot,FIJO20_std_boot,FIJO20_porcentaje_inferior_0,MITAD_MAS_costo_bootstrap,MITAD_MAS_media_costo,MITAD_MAS_diferencia_limite_boot,MITAD_MAS_media_boot,MITAD_MAS_std_boot,MITAD_MAS_porcentaje_inferior_0,DOBLE_costo_bootstrap,DOBLE_media_costo,DOBLE_diferencia_limite_boot,DOBLE_media_boot,DOBLE_std_boot,DOBLE_porcentaje_inferior_0
6000,35000,80,1,2,1,1.0,362.0,3950000,[3437572. 3356792.],3397182.0,[512428. 593208.],552818.0,40390.0,0.0,[5990638. 6625918.],6308278.0,[-2040638. -2675918.],-2358278.0,317640.0,1.0,[8296920. 7461084.],7879002.0,[-4346920. -3511084.],-3929002.0,417918.0,1.0
6000,35000,80,1,2,1,0.5,362.0,3950000,[1980682. 1780696.],1880689.0,[1969318. 2169304.],2069311.0,99993.0,0.0,[2896474. 2919488.],2907981.0,[1053526. 1030512.],1042019.0,11507.0,0.0,[3855344. 4215858.],4035601.0,[  94656. -265858.],-85601.0,180257.0,0.5
6000,35000,80,1,2,1,0.35,362.0,3950000,[1209236. 1391638.],1300437.0,[2740764. 2558362.],2649563.0,91201.0,0.0,[1873430. 2182794.],2028112.0,[2076570. 1767206.],1921888.0,154682.0,0.0,[2914374. 2545434.],2729904.0,[1035626. 1404566.],1220096.0,184470.0,0.0
6000,35000,80,1,2,2,1.0,362.0,3950000,[3925012. 3990172.],3957592.0,[ 24988. -40172.],-7592.0,32580.0,0.5,[6121848. 5570744.],5846296.0,[-2171848. -1620744.],-1896296.0,275552.0,1.0,[7190520. 7777824.],7484172.0,[-3240520. -3827824.],-3534172.0,293652.0,1.0
6000,35000,80,1,2,2,0.5,362.0,3950000,[2284856. 1283916.],1784386.0,[1665144. 2666084.],2165614.0,500470.0,0.0,[3304712. 3493476.],3399094.0,[645288. 456524.],550906.0,94382.0,0.0,[4075496. 3652032.],3863764.0,[-125496.  297968.],86236.0,211732.0,0.5
6000,35000,80,1,2,2,0.35,362.0,3950000,[1417040. 1455412.],1436226.0,[2532960. 2494588.],2513774.0,19186.0,0.0,[2503812. 2191136.],2347474.0,[1446188. 1758864.],1602526.0,156338.0,0.0,[2639108. 2995332.],2817220.0,[1310892.  954668.],1132780.0,178112.0,0.0
6000,35000,80,1,3,1,1.0,362.0,3950000,[3201402. 4524814.],3863108.0,[ 748598. -574814.],86892.0,661706.0,0.5,[6521532. 4609384.],5565458.0,[-2571532.  -659384.],-1615458.0,956074.0,1.0,[7835756. 7251256.],7543506.0,[-3885756. -3301256.],-3593506.0,292250.0,1.0
6000,35000,80,1,3,1,0.5,362.0,3950000,[2234884. 2164186.],2199535.0,[1715116. 1785814.],1750465.0,35349.0,0.0,[3387594. 2945684.],3166639.0,[ 562406. 1004316.],783361.0,220955.0,0.0,[4163816. 4059244.],4111530.0,[-213816. -109244.],-161530.0,52286.0,1.0
6000,35000,80,1,3,1,0.35,362.0,3950000,[1332132. 1567386.],1449759.0,[2617868. 2382614.],2500241.0,117627.0,0.0,[2352966. 2097848.],2225407.0,[1597034. 1852152.],1724593.0,127559.0,0.0,[3021720. 3188656.],3105188.0,[928280. 761344.],844812.0,83468.0,0.0
6000,35000,80,1,3,2,1.0,362.0,3950000,[4204816. 4297958.],4251387.0,[-254816. -347958.],-301387.0,46571.0,1.0,[6630090. 5385000.],6007545.0,[-2680090. -1435000.],-2057545.0,622545.0,1.0,[8101700. 9254118.],8677909.0,[-4151700. -5304118.],-4727909.0,576209.0,1.0
6000,35000,80,1,3,2,0.5,362.0,3950000,[2138970. 2216600.],2177785.0,[1811030. 1733400.],1772215.0,38815.0,0.0,[3572732. 3810058.],3691395.0,[377268. 139942.],258605.0,118663.0,0.0,[5034568. 4210300.],4622434.0,[-1084568.  -260300.],-672434.0,412134.0,1.0
6000,35000,80,1,3,2,0.35,362.0,3950000,[1403554. 1736302.],1569928.0,[2546446. 2213698.],2380072.0,166374.0,0.0,[2541022. 2550380.],2545701.0,[1408978. 1399620.],1404299.0,4679.0,0.0,[2951816. 3398540.],3175178.0,[998184. 551460.],774822.0,223362.0,0.0
6000,35000,80,2,2,1,1.0,362.0,3950000,[3471392. 3227604.],3349498.0,[478608. 722396.],600502.0,121894.0,0.0,[5051732. 5188884.],5120308.0,[-1101732. -1238884.],-1170308.0,68576.0,1.0,[7267768. 6568414.],6918091.0,[-3317768. -2618414.],-2968091.0,349677.0,1.0
6000,35000,80,2,2,1,0.5,362.0,3950000,[1839856. 1786072.],1812964.0,[2110144. 2163928.],2137036.0,26892.0,0.0,[2801414. 2889904.],2845659.0,[1148586. 1060096.],1104341.0,44245.0,0.0,[3828294. 3728328.],3778311.0,[121706. 221672.],171689.0,49983.0,0.0
6000,35000,80,2,2,1,0.35,362.0,3950000,[1357502. 1396598.],1377050.0,[2592498. 2553402.],2572950.0,19548.0,0.0,[2512576. 2157184.],2334880.0,[1437424. 1792816.],1615120.0,177696.0,0.0,[3251396. 3073908.],3162652.0,[698604. 876092.],787348.0,88744.0,0.0
6000,35000,80,2,2,2,1.0,362.0,3950000,[4281652. 4812268.],4546960.0,[-331652. -862268.],-596960.0,265308.0,1.0,[6553584. 5442796.],5998190.0,[-2603584. -1492796.],-2048190.0,555394.0,1.0,[7501748. 8538780.],8020264.0,[-3551748. -4588780.],-4070264.0,518516.0,1.0
6000,35000,80,2,2,2,0.5,362.0,3950000,[2075496. 2206032.],2140764.0,[1874504. 1743968.],1809236.0,65268.0,0.0,[3115624. 2698676.],2907150.0,[ 834376. 1251324.],1042850.0,208474.0,0.0,[4107136. 4225164.],4166150.0,[-157136. -275164.],-216150.0,59014.0,1.0
