piso,tope,max_correccion,divide_en_max,correctores_inicial,agregan,pend,limite,FIJO20_costo_bootstrap,FIJO20_media_costo,FIJO20_diferencia_limite_boot,FIJO20_media_boot,FIJO20_std_boot,FIJO20_porcentaje_inferior_0,MITAD_MAS_costo_bootstrap,MITAD_MAS_media_costo,MITAD_MAS_diferencia_limite_boot,MITAD_MAS_media_boot,MITAD_MAS_std_boot,MITAD_MAS_porcentaje_inferior_0,DOBLE_costo_bootstrap,DOBLE_media_costo,DOBLE_diferencia_limite_boot,DOBLE_media_boot,DOBLE_std_boot,DOBLE_porcentaje_inferior_0
4000,35000,80,1,2,1,388.0,2520000.0,"[2972764. 2740824. 3098688. 3134892. 3428016. 2740648. 3012728. 2714652.
 2748288. 2987508. 2867616. 2747780. 3343728. 3865688. 3128980.]",3035520.0,"[ -452764.  -220824.  -578688.  -614892.  -908016.  -220648.  -492728.
  -194652.  -228288.  -467508.  -347616.  -227780.  -823728. -1345688.
  -608980.]",-515520.0,309604.767353476,1.0,"[4455760. 4483668. 4429136. 4570700. 3654496. 4455760. 5331908. 4265724.
 5264424. 4785328. 5189004. 4734916. 4966228. 4898476. 4457072.]",4662840.0,"[-1935760. -1963668. -1909136. -2050700. -1134496. -1935760. -2811908.
 -1745724. -2744424. -2265328. -2669004. -2214916. -2446228. -2378476.
 -1937072.]",-2142840.0,420471.49112648924,1.0,"[5976512. 6387708. 6163020. 6705036. 5277236. 5867096. 6891608. 6595676.
 4928712. 6033640. 6192840. 6437704. 7046068. 6110344. 4838400.]",6096773.333333333,"[-3456512. -3867708. -3643020. -4185036. -2757236. -3347096. -4371608.
 -4075676. -2408712. -3513640. -3672840. -3917704. -4526068. -3590344.
 -2318400.]",-3576773.3333333335,635463.1167219349,1.0
4000,35000,80,1,2,2,388.0,2520000.0,"[3534480. 3099792. 2765800. 3135248. 2455808. 3549944. 3159304. 4118416.
 3346928. 3291408. 3892528. 3393008. 3628024. 3596152. 2495328.]",3297477.8666666667,"[-1014480.  -579792.  -245800.  -615248.    64192. -1029944.  -639304.
 -1598416.  -826928.  -771408. -1372528.  -873008. -1108024. -1076152.
    24672.]",-777477.8666666667,452918.8716942387,0.8666666666666667,"[4877840. 5667712. 5694632. 4594048. 6078472. 5447200. 4380648. 4737496.
 4978480. 5131480. 5031192. 4505344. 5893176. 4946128. 5329304.]",5152876.8,"[-2357840. -3147712. -3174632. -2074048. -3558472. -2927200. -1860648.
 -2217496. -2458480. -2611480. -2511192. -1985344. -3373176. -2426128.
 -2809304.]",-2632876.8,499707.4151326554,1.0,"[5740472. 6815744. 7125920. 6396632. 5665792. 6824224. 5639296. 6948144.
 6072192. 5774856. 7705848. 5643952. 7345768. 7287032. 6885528.]",6524760.0,"[-3220472. -4295744. -4605920. -3876632. -3145792. -4304224. -3119296.
 -4428144. -3552192. -3254856. -5185848. -3123952. -4825768. -4767032.
 -4365528.]",-4004760.0,692417.3304482396,1.0
4000,35000,80,1,3,1,388.0,2520000.0,"[3219668. 3609644. 2433000. 3532432. 4519760. 2619304. 3211788. 3013400.
 4084804. 3194448. 3028172. 2869656. 2775908. 3510704. 3559056.]",3278782.933333333,"[ -699668. -1089644.    87000. -1012432. -1999760.   -99304.  -691788.
  -493400. -1564804.  -674448.  -508172.  -349656.  -255908.  -990704.
 -1039056.]",-758782.9333333333,530075.4541277392,0.9333333333333333,"[5529452. 5462356. 4370924. 5202600. 5037460. 4962336. 4622708. 4261148.
 4851664. 4520036. 4377012. 5039280. 4209452. 4891868. 5873256.]",4880770.133333334,"[-3009452. -2942356. -1850924. -2682600. -2517460. -2442336. -2102708.
 -1741148. -2331664. -2000036. -1857012. -2519280. -1689452. -2371868.
 -3353256.]",-2360770.1333333333,479581.3101654215,1.0,"[6114036. 7200608. 6831612. 6012768. 6580992. 7216664. 6685724. 5631624.
 6375076. 7245496. 6340156. 6288284. 6297892. 6532040. 7233108.]",6572405.333333333,"[-3594036. -4680608. -4311612. -3492768. -4060992. -4696664. -4165724.
 -3111624. -3855076. -4725496. -3820156. -3768284. -3777892. -4012040.
 -4713108.]",-4052405.3333333335,478772.47311051167,1.0
4000,35000,80,1,3,2,388.0,2520000.0,"[3661852. 3266168. 4273928. 3969664. 3855204. 4102932. 3921164. 2596668.
 4173936. 3645372. 4433728. 4321412. 4495420. 2912092. 2036916.]",3711097.066666667,"[-1141852.  -746168. -1753928. -1449664. -1335204. -1582932. -1401164.
   -76668. -1653936. -1125372. -1913728. -1801412. -1975420.  -392092.
   483084.]",-1191097.0666666667,693497.2917210725,0.9333333333333333,"[5104180. 4440980. 6044188. 5140060. 5019356. 5637936. 5223868. 4321588.
 4811924. 4956020. 6292636. 5895936. 5124244. 4360444. 4634684.]",5133869.6,"[-2584180. -1920980. -3524188. -2620060. -2499356. -3117936. -2703868.
 -1801588. -2291924. -2436020. -3772636. -3375936. -2604244. -1840444.
 -2114684.]",-2613869.6,586004.7259182358,1.0,"[7651932. 7126084. 6858772. 6847816. 7932012. 6886652. 7815704. 7244756.
 6921036. 6497804. 7004068. 6961056. 7683452. 7024040. 7024188.]",7165291.466666667,"[-5131932. -4606084. -4338772. -4327816. -5412012. -4366652. -5295704.
 -4724756. -4401036. -3977804. -4484068. -4441056. -5163452. -4504040.
 -4504188.]",-4645291.466666667,400766.7967241243,1.0
4000,35000,80,1,4,1,388.0,2520000.0,"[3141872. 3070240. 2413016. 4535204. 2856000. 4309860. 2530968. 3375900.
 3302448. 3235084. 3175508. 4388060. 4191668. 3854580. 2903696.]",3418940.2666666666,"[ -621872.  -550240.   106984. -2015204.  -336000. -1789860.   -10968.
  -855900.  -782448.  -715084.  -655508. -1868060. -1671668. -1334580.
  -383696.]",-898940.2666666667,656021.679592117,0.9333333333333333,"[3569620. 4334680. 5740336. 5292252. 4348408. 5431184. 4972920. 5172296.
 3676532. 5280492. 4444724. 3873100. 4449380. 6040268. 5707448.]",4822242.666666667,"[-1049620. -1814680. -3220336. -2772252. -1828408. -2911184. -2452920.
 -2652296. -1156532. -2760492. -1924724. -1353100. -1929380. -3520268.
 -3187448.]",-2302242.6666666665,756456.351083627,1.0,"[6719744. 6369076. 6761796. 6788300. 6151464. 7532020. 6987380. 6401160.
 5762292. 6588148. 6878528. 6914760. 5889260. 6496460. 6785196.]",6601705.6,"[-4199744. -3849076. -4241796. -4268300. -3631464. -5012020. -4467380.
 -3881160. -3242292. -4068148. -4358528. -4394760. -3369260. -3976460.
 -4265196.]",-4081705.6,433391.15955616813,1.0
4000,35000,80,1,4,2,388.0,2520000.0,"[3840440. 3651208. 3564352. 3030152. 3315608. 3062744. 3046744. 3030448.
 3482152. 3216336. 3516776. 3458096. 3995880. 3497968. 2772392.]",3365419.7333333334,"[-1320440. -1131208. -1044352.  -510152.  -795608.  -542744.  -526744.
  -510448.  -962152.  -696336.  -996776.  -938096. -1475880.  -977968.
  -252392.]",-845419.7333333333,326724.43589370884,1.0,"[5339664. 6028656. 6368968. 5748688. 5444608. 5270360. 5315368. 6354168.
 4950816. 4482816. 5636408. 5195920. 5420552. 5000184. 4081848.]",5375934.933333334,"[-2819664. -3508656. -3848968. -3228688. -2924608. -2750360. -2795368.
 -3834168. -2430816. -1962816. -3116408. -2675920. -2900552. -2480184.
 -1561848.]",-2855934.933333333,601407.7819719847,1.0,"[7368616. 6860264. 7735256. 6981856. 7740392. 7935296. 8594912. 6972544.
 6251680. 7252808. 7279912. 8075992. 6663272. 7161424. 8684872.]",7437273.066666666,"[-4848616. -4340264. -5215256. -4461856. -5220392. -5415296. -6074912.
 -4452544. -3731680. -4732808. -4759912. -5555992. -4143272. -4641424.
 -6164872.]",-4917273.066666666,665027.1595014714,1.0
4000,35000,80,2,2,1,388.0,2520000.0,"[3331900. 3512612. 2586320. 2843348. 3419748. 3005584. 3090580. 3696108.
 3552308. 2749920. 3076520. 3069512. 3488812. 3447912. 4186332.]",3270501.066666667,"[ -811900.  -992612.   -66320.  -323348.  -899748.  -485584.  -570580.
 -1176108. -1032308.  -229920.  -556520.  -549512.  -968812.  -927912.
 -1666332.]",-750501.0666666667,397093.2060003825,1.0,"[5245932. 5687392. 4033848. 4670040. 4906196. 5279784. 4879464. 5344472.
 4651848. 4499272. 4583280. 5271356. 5028724. 4820824. 5215416.]",4941189.866666666,"[-2725932. -3167392. -1513848. -2150040. -2386196. -2759784. -2359464.
 -2824472. -2131848. -1979272. -2063280. -2751356. -2508724. -2300824.
 -2695416.]",-2421189.8666666667,403506.5821714877,1.0,"[5935268. 6299072. 5744776. 5150216. 5812164. 4808204. 7035836. 5653528.
 7639048. 5945236. 5886152. 6549220. 6745748. 6043796. 6794556.]",6136188.0,"[-3415268. -3779072. -3224776. -2630216. -3292164. -2288204. -4515836.
 -3133528. -5119048. -3425236. -3366152. -4029220. -4225748. -3523796.
 -4274556.]",-3616188.0,704500.6182931756,1.0
4000,35000,80,2,2,2,388.0,2520000.0,"[4650664. 2966512. 3431136. 3467288. 4206560. 3296464. 3269440. 3999960.
 2993408. 3311904. 4371312. 3401440. 3334568. 3529928. 3800776.]",3602090.6666666665,"[-2130664.  -446512.  -911136.  -947288. -1686560.  -776464.  -749440.
 -1479960.  -473408.  -791904. -1851312.  -881440.  -814568. -1009928.
 -1280776.]",-1082090.6666666667,481769.48636440455,1.0,"[5338512. 4723048. 6432752. 4949208. 5348280. 5525552. 6121984. 5242072.
 6126776. 5188104. 5716760. 4732976. 6322136. 5202736. 5768728.]",5515974.933333334,"[-2818512. -2203048. -3912752. -2429208. -2828280. -3005552. -3601984.
 -2722072. -3606776. -2668104. -3196760. -2212976. -3802136. -2682736.
 -3248728.]",-2995974.933333333,531556.9552223565,1.0,"[7596656. 5669568. 6186184. 7816576. 8121752. 6997296. 7509072. 6598792.
 6635880. 6788104. 5993152. 8355536. 6810184. 6290832. 6657496.]",6935138.666666667,"[-5076656. -3149568. -3666184. -5296576. -5601752. -4477296. -4989072.
 -4078792. -4115880. -4268104. -3473152. -5835536. -4290184. -3770832.
 -4137496.]",-4415138.666666667,764000.6568690602,1.0
4000,35000,80,2,3,1,388.0,2520000.0,"[3502972. 3276584. 2877232. 4092472. 3319088. 3221220. 3239068. 3638864.
 3652296. 2624016. 2529788. 3330996. 3366240. 2746088. 3458232.]",3258343.7333333334,"[ -982972.  -756584.  -357232. -1572472.  -799088.  -701220.  -719068.
 -1118864. -1132296.  -104016.    -9788.  -810996.  -846240.  -226088.
  -938232.]",-738343.7333333333,404892.727309587,1.0,"[5196872. 5872924. 5319620. 4760836. 4918936. 6175804. 5035632. 5420712.
 4487648. 4659060. 5319296. 4517376. 4904756. 4905864. 4465236.]",5064038.133333334,"[-2676872. -3352924. -2799620. -2240836. -2398936. -3655804. -2515632.
 -2900712. -1967648. -2139060. -2799296. -1997376. -2384756. -2385864.
 -1945236.]",-2544038.1333333333,481904.4665178451,1.0,"[5968112. 7312076. 7727872. 7116644. 7118676. 6293412. 6653744. 7050860.
 7414028. 6971200. 6181400. 5700956. 6387576. 7412364. 6751352.]",6804018.133333334,"[-3448112. -4792076. -5207872. -4596644. -4598676. -3773412. -4133744.
 -4530860. -4894028. -4451200. -3661400. -3180956. -3867576. -4892364.
 -4231352.]",-4284018.133333334,571669.3605724514,1.0
4000,35000,80,2,3,2,388.0,2520000.0,"[3926920. 4302272. 3216052. 4112420. 3209780. 2609916. 3992012. 3295684.
 4232016. 3210648. 3755776. 3655396. 3685992. 3002276. 3363288.]",3571363.2,"[-1406920. -1782272.  -696052. -1592420.  -689780.   -89916. -1472012.
  -775684. -1712016.  -690648. -1235776. -1135396. -1165992.  -482276.
  -843288.]",-1051363.2,474387.10259072884,1.0,"[5954728. 5513020. 5202400. 4634592. 5853120. 5733144. 6203768. 5603996.
 5675276. 5226548. 5079848. 6639184. 5012484. 5592116. 6180572.]",5606986.4,"[-3434728. -2993020. -2682400. -2114592. -3333120. -3213144. -3683768.
 -3083996. -3155276. -2706548. -2559848. -4119184. -2492484. -3072116.
 -3660572.]",-3086986.4,506425.9034571329,1.0,"[6627508. 7118380. 7236332. 6428908. 7372288. 7280204. 8065864. 6225016.
 7124524. 6741220. 7536080. 7692876. 6662788. 5888760. 7187536.]",7012552.266666667,"[-4107508. -4598380. -4716332. -3908908. -4852288. -4760204. -5545864.
 -3705016. -4604524. -4221220. -5016080. -5172876. -4142788. -3368760.
 -4667536.]",-4492552.266666667,560942.4669297755,1.0
